# Wavelength,Intensity
4.057335510253906250e+02,1.398171752929687500e+03
4.061915893554687500e+02,1.387260620117187500e+03
4.066495971679687500e+02,1.395195800781250000e+03
4.071076049804687500e+02,1.387260620117187500e+03
4.075655517578125000e+02,1.392219970703125000e+03
4.080234985351562500e+02,1.395195800781250000e+03
4.084814147949218750e+02,1.387260620117187500e+03
4.089393310546875000e+02,1.402140136718750000e+03
4.093971557617187500e+02,1.392219970703125000e+03
4.098550415039062500e+02,1.397179809570312500e+03
4.103128356933593750e+02,1.391228149414062500e+03
4.107706298828125000e+02,1.393211914062500000e+03
4.112284240722656250e+02,1.385276977539062500e+03
4.116861572265625000e+02,1.395195800781250000e+03
4.121438903808593750e+02,1.387260620117187500e+03
4.126015930175781250e+02,1.395195800781250000e+03
4.130592651367187500e+02,1.391228149414062500e+03
4.135169067382812500e+02,1.393211914062500000e+03
4.139745483398437500e+02,1.393211914062500000e+03
4.144321594238281250e+02,1.392219970703125000e+03
4.148897399902343750e+02,1.396187744140625000e+03
4.153472900390625000e+02,1.387260620117187500e+03
4.158048400878906250e+02,1.389244262695312500e+03
4.162623596191406250e+02,1.396187744140625000e+03
4.167198486328125000e+02,1.389244262695312500e+03
4.171773071289062500e+02,1.393211914062500000e+03
4.176347656250000000e+02,1.385276977539062500e+03
4.180921630859375000e+02,1.393211914062500000e+03
4.185495605468750000e+02,1.391228149414062500e+03
4.190068969726562500e+02,1.403132324218750000e+03
4.194642639160156250e+02,1.391228149414062500e+03
4.199215698242187500e+02,1.392219970703125000e+03
4.203789062500000000e+02,1.393211914062500000e+03
4.208361511230468750e+02,1.392219970703125000e+03
4.212933959960937500e+02,1.390236206054687500e+03
4.217506103515625000e+02,1.387260620117187500e+03
4.222078247070312500e+02,1.396187744140625000e+03
4.226650085449218750e+02,1.392219970703125000e+03
4.231221618652343750e+02,1.401148071289062500e+03
4.235792846679687500e+02,1.393211914062500000e+03
4.240363769531250000e+02,1.388252563476562500e+03
4.244934692382812500e+02,1.394203735351562500e+03
4.249505310058593750e+02,1.391228149414062500e+03
4.254075622558593750e+02,1.391228149414062500e+03
4.258645629882812500e+02,1.387260620117187500e+03
4.263215637207031250e+02,1.391228149414062500e+03
4.267785339355468750e+02,1.392219970703125000e+03
4.272354736328125000e+02,1.389244262695312500e+03
4.276923828125000000e+02,1.404124389648437500e+03
4.281492919921875000e+02,1.394203735351562500e+03
4.286061401367187500e+02,1.392219970703125000e+03
4.290629882812500000e+02,1.395195800781250000e+03
4.295197753906250000e+02,1.393211914062500000e+03
4.299765930175781250e+02,1.387260620117187500e+03
4.304333496093750000e+02,1.396187744140625000e+03
4.308901367187500000e+02,1.392219970703125000e+03
4.313468322753906250e+02,1.391228149414062500e+03
4.318035278320312500e+02,1.383293579101562500e+03
4.322601928710937500e+02,1.391228149414062500e+03
4.327168579101562500e+02,1.390236206054687500e+03
4.331734924316406250e+02,1.393211914062500000e+03
4.336300659179687500e+02,1.392219970703125000e+03
4.340866699218750000e+02,1.394203735351562500e+03
4.345432128906250000e+02,1.396187744140625000e+03
4.349997558593750000e+02,1.389244262695312500e+03
4.354562377929687500e+02,1.399163818359375000e+03
4.359127502441406250e+02,1.384285278320312500e+03
4.363692016601562500e+02,1.394203735351562500e+03
4.368256225585937500e+02,1.402140136718750000e+03
4.372820434570312500e+02,1.389244262695312500e+03
4.377384338378906250e+02,1.398171752929687500e+03
4.381947937011718750e+02,1.390236206054687500e+03
4.386511230468750000e+02,1.401148071289062500e+03
4.391074523925781250e+02,1.391228149414062500e+03
4.395637512207031250e+02,1.392219970703125000e+03
4.400200195312500000e+02,1.389244262695312500e+03
4.404762573242187500e+02,1.388252563476562500e+03
4.409324645996093750e+02,1.394203735351562500e+03
4.413886718750000000e+02,1.395195800781250000e+03
4.418448486328125000e+02,1.393211914062500000e+03
4.423009643554687500e+02,1.387260620117187500e+03
4.427570800781250000e+02,1.399163818359375000e+03
4.432131958007812500e+02,1.400155883789062500e+03
4.436692810058593750e+02,1.392219970703125000e+03
4.441253356933593750e+02,1.381310058593750000e+03
4.445813598632812500e+02,1.391228149414062500e+03
4.450373535156250000e+02,1.392219970703125000e+03
4.454933471679687500e+02,1.388252563476562500e+03
4.459492797851562500e+02,1.393211914062500000e+03
4.464052124023437500e+02,1.391228149414062500e+03
4.468611450195312500e+02,1.388252563476562500e+03
4.473170166015625000e+02,1.393211914062500000e+03
4.477728881835937500e+02,1.390236206054687500e+03
4.482286987304687500e+02,1.387260620117187500e+03
4.486845092773437500e+02,1.399163818359375000e+03
4.491402587890625000e+02,1.397179809570312500e+03
4.495960693359375000e+02,1.390236206054687500e+03
4.500518188476562500e+02,1.396187744140625000e+03
4.505075073242187500e+02,1.394203735351562500e+03
4.509631958007812500e+02,1.388252563476562500e+03
4.514188842773437500e+02,1.387260620117187500e+03
4.518745117187500000e+02,1.389244262695312500e+03
4.523301391601562500e+02,1.393211914062500000e+03
4.527857055664062500e+02,1.391228149414062500e+03
4.532412719726562500e+02,1.393211914062500000e+03
4.536968383789062500e+02,1.393211914062500000e+03
4.541523437500000000e+02,1.398171752929687500e+03
4.546078491210937500e+02,1.393211914062500000e+03
4.550632934570312500e+02,1.397179809570312500e+03
4.555187377929687500e+02,1.385276977539062500e+03
4.559741821289062500e+02,1.395195800781250000e+03
4.564295654296875000e+02,1.386268798828125000e+03
4.568849487304687500e+02,1.385276977539062500e+03
4.573403320312500000e+02,1.389244262695312500e+03
4.577956542968750000e+02,1.398171752929687500e+03
