Wavelength(nm)	Absorbance
365.333923	-0.000000
365.794037	-0.000000
366.254150	-0.000000
366.714203	-0.000000
367.174255	-0.000000
367.634247	-0.000000
368.094238	-0.000000
368.554199	-0.000000
369.014160	-0.000000
369.474091	-0.000000
369.933960	-0.000000
370.393860	-0.000000
370.853699	-0.000000
371.313538	-0.000000
371.773346	-0.000000
372.233124	-0.000000
372.692871	-0.000000
373.152618	-0.000000
373.612335	-0.000000
374.072021	-0.000000
374.531677	-0.000000
374.991333	-0.000000
375.450928	-0.000000
375.910522	-0.000000
376.370117	-0.000000
376.829651	-0.000000
377.289185	-0.000000
377.748657	-0.000000
378.208130	-0.000000
378.667603	-0.000000
379.127014	-0.000000
379.586426	-0.000000
380.045837	-0.000000
380.505188	-0.000000
380.964508	-0.000000
381.423828	-0.000000
381.883118	-0.000000
382.342377	-0.000000
382.801605	-0.000000
383.260834	-0.000000
383.720032	-0.000000
384.179199	-0.000000
384.638367	-0.000000
385.097473	-0.000000
385.556580	-0.000000
386.015625	-0.000000
386.474701	-0.000000
386.933716	-0.000000
387.392731	-0.000000
387.851715	-0.000000
388.310669	-0.000000
388.769592	-0.000000
389.228516	-0.000000
389.687408	-0.000000
390.146271	-0.000000
390.605103	-0.000000
391.063934	-0.000000
391.522705	-0.000000
391.981506	-0.000000
392.440247	-0.000000
392.898956	-0.000000
393.357666	-0.000000
393.816345	-0.000000
394.274963	-0.000000
394.733582	-0.000000
395.192200	-0.000000
395.650787	-0.000000
396.109344	-0.000000
396.567871	-0.000000
397.026367	-0.000000
397.484863	-0.000000
397.943329	-0.000000
398.401794	-0.000000
398.860168	-0.000000
399.318573	-0.000000
399.776947	-0.000000
400.235291	-0.000000
400.693604	-0.000000
401.151917	-0.000000
401.610168	-0.000000
402.068420	-0.000000
402.526672	-0.000000
402.984863	-0.000000
403.443024	-0.000000
403.901184	-0.000000
404.359314	-0.000000
404.817444	-0.000000
405.275513	-0.000000
405.733551	-0.000000
406.191589	-0.000000
406.649597	-0.000000
407.107605	-0.000000
407.565552	-0.000000
408.023499	-0.000000
408.481415	-0.000000
408.939331	-0.000000
409.397156	-0.000000
409.855042	-0.000000
410.312836	-0.000000
410.770630	-0.000000
411.228424	-0.000000
411.686157	-0.000000
412.143890	-0.000000
412.601593	-0.000000
413.059265	-0.000000
413.516907	-0.000000
413.974548	-0.000000
414.432159	-0.000000
414.889740	-0.000000
415.347290	-0.000000
415.804840	-0.000000
416.262360	-0.000000
416.719849	-0.000000
417.177307	-0.000000
417.634766	-0.000000
418.092163	-0.000000
418.549561	-0.000000
419.006897	-0.000000
419.464264	-0.000000
419.921570	-0.000000
420.378906	-0.000000
420.836151	-0.000000
421.293396	-0.000000
421.750610	-0.000000
422.207825	-0.000000
422.665009	-0.000000
423.122162	-0.000000
423.579285	-0.000000
424.036377	-0.000000
424.493469	-0.000000
424.950531	-0.000000
425.407562	-0.000000
425.864563	-0.000000
426.321564	-0.000000
426.778534	-0.000000
427.235474	-0.000000
427.692383	-0.000000
428.149292	-0.000000
428.606140	-0.000000
429.062988	-0.000000
429.519775	-0.000000
429.976593	-0.000000
430.433350	-0.000000
430.890137	-0.000000
431.346832	-0.000000
431.803528	-0.000000
432.260193	-0.000000
432.716858	-0.000000
433.173492	-0.000000
433.630066	-0.000000
434.086670	-0.000000
434.543213	-0.000000
434.999756	-0.000000
435.456238	-0.000000
435.912750	-0.000000
436.369202	-0.000000
436.825623	-0.000000
437.282043	-0.000000
437.738434	-0.000000
438.194794	-0.000000
438.651123	-0.000000
439.107452	-0.000000
439.563751	-0.000000
440.020020	-0.000000
440.476257	-0.000000
440.932465	-0.000000
441.388672	-0.000000
441.844849	-0.000000
442.300964	-0.000000
442.757080	-0.000000
443.213196	-0.000000
443.669281	-0.000000
444.125336	-0.000000
444.581360	-0.000000
445.037354	-0.000000
445.493347	-0.000000
445.949280	-0.000000
446.405212	-0.000000
446.861145	-0.000000
447.317017	-0.000000
447.772888	-0.000000
448.228699	-0.000000
448.684509	-0.000000
449.140259	-0.000000
449.596069	-0.000000
450.051819	-0.000000
450.507507	-0.000000
450.963196	-0.000000
451.418884	-0.000000
451.874512	-0.000000
452.330139	-0.000000
452.785706	-0.000000
453.241272	-0.000000
453.696838	-0.000000
454.152344	-0.000000
454.607849	-0.000000
455.063293	-0.000000
455.518738	-0.000000
455.974182	-0.000000
456.429565	-0.000000
456.884949	-0.000000
457.340332	-0.000000
457.795654	-0.000000
458.250916	-0.000000
458.706238	-0.000000
459.161499	-0.000000
459.616699	0.022868
460.071899	-0.000000
460.527100	-0.000000
460.982239	-0.000000
461.437378	-0.000000
461.892456	-0.000000
462.347534	-0.000000
462.802612	-0.000000
463.257690	-0.000000
463.712646	-0.000000
464.167664	-0.000000
464.622620	-0.000000
465.077576	-0.000000
465.532471	-0.000000
465.987366	-0.000000
466.442261	-0.000000
466.897095	-0.000000
467.351868	-0.000000
467.806702	-0.000000
468.261475	-0.000000
468.716187	-0.000000
469.170898	-0.000000
469.625610	-0.000000
470.080261	-0.000000
470.534912	-0.000000
470.989563	-0.000000
471.444153	-0.000000
471.898743	-0.000000
472.353271	-0.000000
472.807800	-0.000000
473.262329	-0.000000
473.716797	-0.000000
474.171265	-0.000000
474.625671	-0.000000
475.080078	-0.000000
475.534424	-0.000000
475.988831	-0.000000
476.443115	-0.000000
476.897461	-0.000000
477.351746	-0.000000
477.805969	-0.000000
478.260254	-0.000000
478.714417	-0.000000
479.168640	-0.000000
479.622803	-0.000000
480.076904	-0.000000
480.531006	-0.000000
480.985107	-0.000000
481.439209	-0.000000
481.893188	-0.000000
